    TS       Day   Newton        INJ1:BHP        INJ1:WIR        INJ1:OIR        INJ2:BHP        INJ2:WIR        INJ2:OIR        PRD1:BHP        PRD1:WPR        PRD1:OPR        PRD2:BHP        PRD2:WPR        PRD2:OPR        PRD3:BHP        PRD3:WPR        PRD3:OPR        PRD4:BHP        PRD4:WPR        PRD4:OPR
   19 1327.0000        4     2.50000e+02    -3.43614e+03    -4.53417e-07     2.50000e+02    -1.50870e+03    -1.99080e-07     1.50000e+02     1.24159e+01     4.44901e+02     1.50000e+02     4.35605e+02     6.05439e+02     1.50000e+02     1.96511e-02     5.49482e+02     1.50000e+02     9.25783e-02     8.64930e+02
   20 1427.0000        5     2.50000e+02    -3.40364e+03    -4.49128e-07     2.50000e+02    -1.51123e+03    -1.99415e-07     1.50000e+02     5.99645e+01     3.79418e+02     1.50000e+02     5.38518e+02     5.63800e+02     1.50000e+02     1.94989e-02     5.52535e+02     1.50000e+02     3.19895e+00     8.49206e+02
   21 1527.0000        4     2.50000e+02    -3.35567e+03    -4.42798e-07     2.50000e+02    -1.51550e+03    -1.99978e-07     1.50000e+02     1.18815e+02     3.30187e+02     1.50000e+02     6.20799e+02     5.33762e+02     1.50000e+02     1.93438e-02     5.56963e+02     1.50000e+02     4.61073e+01     7.56907e+02
   22 1627.0000        4     2.50000e+02    -3.31074e+03    -4.36869e-07     2.50000e+02    -1.52055e+03    -2.00644e-07     1.50000e+02     1.75971e+02     2.91359e+02     1.50000e+02     6.88532e+02     5.09232e+02     1.50000e+02     1.91793e-02     5.62120e+02     1.50000e+02     1.40895e+02     6.75309e+02
   23 1727.0000        4     2.50000e+02    -3.28012e+03    -4.32829e-07     2.50000e+02    -1.52613e+03    -2.01381e-07     1.50000e+02     2.31954e+02     2.60594e+02     1.50000e+02     7.45757e+02     4.89089e+02     1.50000e+02     1.90044e-02     5.67116e+02     1.50000e+02     2.35309e+02     6.19482e+02
   24 1827.0000        4     2.50000e+02    -3.26298e+03    -4.30567e-07     2.50000e+02    -1.53229e+03    -2.02194e-07     1.50000e+02     2.82506e+02     2.36795e+02     1.50000e+02     7.94520e+02     4.72446e+02     1.50000e+02     1.88233e-02     5.71465e+02     1.50000e+02     3.15207e+02     5.76187e+02
   25 1927.0000        4     2.50000e+02    -3.25780e+03    -4.29883e-07     2.50000e+02    -1.53959e+03    -2.03157e-07     1.50000e+02     3.27013e+02     2.17415e+02     1.50000e+02     8.37997e+02     4.59071e+02     1.50000e+02     1.86418e-02     5.74997e+02     1.50000e+02     3.87997e+02     5.42981e+02
   26 2027.0000        4     2.50000e+02    -3.26105e+03    -4.30312e-07     2.50000e+02    -1.54780e+03    -2.04240e-07     1.50000e+02     3.67207e+02     2.01431e+02     1.50000e+02     8.76851e+02     4.47115e+02     1.50000e+02     1.84797e-02     5.77697e+02     1.50000e+02     4.48671e+02     5.15241e+02
   27 2127.0000        4     2.50000e+02    -3.27054e+03    -4.31565e-07     2.50000e+02    -1.55658e+03    -2.05398e-07     1.50000e+02     4.03913e+02     1.88431e+02     1.50000e+02     9.12551e+02     4.35881e+02     1.50000e+02     1.85355e-02     5.79457e+02     1.50000e+02     5.00335e+02     4.92556e+02
   28 2227.0000        4     2.50000e+02    -3.28414e+03    -4.33359e-07     2.50000e+02    -1.56573e+03    -2.06606e-07     1.50000e+02     4.37193e+02     1.76989e+02     1.50000e+02     9.45116e+02     4.25572e+02     1.50000e+02     2.10511e-02     5.80361e+02     1.50000e+02     5.45021e+02     4.74367e+02
   29 2327.0000        4     2.50000e+02    -3.29988e+03    -4.35436e-07     2.50000e+02    -1.57507e+03    -2.07839e-07     1.50000e+02     4.67508e+02     1.66811e+02     1.50000e+02     9.75048e+02     4.16181e+02     1.50000e+02     5.12074e-02     5.80450e+02     1.50000e+02     5.83803e+02     4.58438e+02
   30 2427.0000        4     2.50000e+02    -3.31645e+03    -4.37623e-07     2.50000e+02    -1.58443e+03    -2.09073e-07     1.50000e+02     4.96007e+02     1.57885e+02     1.50000e+02     1.00232e+03     4.07652e+02     1.50000e+02     3.97436e-01     5.78218e+02     1.50000e+02     6.18565e+02     4.43852e+02
   31 2527.0000        4     2.50000e+02    -3.33056e+03    -4.39484e-07     2.50000e+02    -1.59357e+03    -2.10279e-07     1.50000e+02     5.22805e+02     1.50208e+02     1.50000e+02     1.02732e+03     3.99792e+02     1.50000e+02     4.58678e+00     5.59447e+02     1.50000e+02     6.52880e+02     4.29184e+02
   32 2627.0000        3     2.50000e+02    -3.33834e+03    -4.40512e-07     2.50000e+02    -1.60229e+03    -2.11431e-07     1.50000e+02     5.47561e+02     1.43351e+02     1.50000e+02     1.05063e+03     3.92462e+02     1.50000e+02     2.82508e+01     5.16551e+02     1.50000e+02     6.90861e+02     4.12324e+02
   33 2727.0000        4     2.50000e+02    -3.34397e+03    -4.41255e-07     2.50000e+02    -1.61057e+03    -2.12523e-07     1.50000e+02     5.70717e+02     1.37229e+02     1.50000e+02     1.07277e+03     3.85596e+02     1.50000e+02     6.49274e+01     4.84633e+02     1.50000e+02     7.35928e+02     3.93711e+02
   34 2827.0000        3     2.50000e+02    -3.35093e+03    -4.42172e-07     2.50000e+02    -1.61844e+03    -2.13562e-07     1.50000e+02     5.92259e+02     1.31594e+02     1.50000e+02     1.09351e+03     3.79180e+02     1.50000e+02     9.98881e+01     4.62257e+02     1.50000e+02     7.85162e+02     3.74226e+02
   35 2927.0000        3     2.50000e+02    -3.36041e+03    -4.43424e-07     2.50000e+02    -1.62611e+03    -2.14574e-07     1.50000e+02     6.12466e+02     1.26313e+02     1.50000e+02     1.11320e+03     3.73323e+02     1.50000e+02     1.30641e+02     4.44661e+02     1.50000e+02     8.34461e+02     3.55144e+02
   36 3027.0000        3     2.50000e+02    -3.37243e+03    -4.45010e-07     2.50000e+02    -1.63369e+03    -2.15574e-07     1.50000e+02     6.31507e+02     1.21392e+02     1.50000e+02     1.13186e+03     3.67878e+02     1.50000e+02     1.59321e+02     4.28555e+02     1.50000e+02     8.79704e+02     3.38181e+02
   37 3127.0000        3     2.50000e+02    -3.38669e+03    -4.46892e-07     2.50000e+02    -1.64120e+03    -2.16565e-07     1.50000e+02     6.50664e+02     1.17035e+02     1.50000e+02     1.14937e+03     3.62721e+02     1.50000e+02     1.85644e+02     4.12653e+02     1.50000e+02     9.20292e+02     3.23336e+02
   38 3227.0000        3     2.50000e+02    -3.40276e+03    -4.49012e-07     2.50000e+02    -1.64861e+03    -2.17543e-07     1.50000e+02     6.68688e+02     1.12881e+02     1.50000e+02     1.16582e+03     3.57849e+02     1.50000e+02     2.10703e+02     3.97729e+02     1.50000e+02     9.57622e+02     3.10841e+02
   39 3327.0000        3     2.50000e+02    -3.42054e+03    -4.51359e-07     2.50000e+02    -1.65597e+03    -2.18513e-07     1.50000e+02     6.85946e+02     1.08991e+02     1.50000e+02     1.18153e+03     3.53192e+02     1.50000e+02     2.34773e+02     3.84515e+02     1.50000e+02     9.92290e+02     2.99916e+02
   40 3427.0000        3     2.50000e+02    -3.43932e+03    -4.53836e-07     2.50000e+02    -1.66323e+03    -2.19471e-07     1.50000e+02     7.02525e+02     1.05251e+02     1.50000e+02     1.19659e+03     3.48670e+02     1.50000e+02     2.57263e+02     3.72198e+02     1.50000e+02     1.02411e+03     2.89828e+02
   41 3527.0000        3     2.50000e+02    -3.45853e+03    -4.56371e-07     2.50000e+02    -1.67038e+03    -2.20415e-07     1.50000e+02     7.18301e+02     1.01672e+02     1.50000e+02     1.21104e+03     3.44275e+02     1.50000e+02     2.76881e+02     3.61468e+02     1.50000e+02     1.05357e+03     2.80479e+02
   42 3627.0000        3     2.50000e+02    -3.47797e+03    -4.58936e-07     2.50000e+02    -1.67742e+03    -2.21344e-07     1.50000e+02     7.33412e+02     9.82638e+01     1.50000e+02     1.22505e+03     3.39991e+02     1.50000e+02     2.93947e+02     3.52013e+02     1.50000e+02     1.08144e+03     2.71772e+02
