PVDO
290.076	2.20957	1.0177
580.152	2.16715	1.0888
870.228	2.12473	1.1598
1160.304	2.08231	1.2308
1450.38	2.03989	1.3018
1740.456	1.99747	1.3728
1885.494	1.97626	1.4083
1969.441994	1.97527	1.4284
2069.648749	1.96301	1.4529
2082.383085	1.95464	1.456
2175.555496	1.93391	1.4788
2286.872161	1.91309	1.506
2404.410956	1.89217	1.5348
2528.461958	1.87115	1.5651
2659.547302	1.85005	1.5972
2797.957066	1.82887	1.631
2944.750025	1.80761	1.6669
3099.940685	1.78628	1.7049
3264.892403	1.76487	1.7452
3440.127314	1.74339	1.7881
3626.196565	1.72184	1.8336
3824.724579	1.70022	1.8821
4036.538074	1.67853	1.9339
4262.956896	1.65678	1.9893
4505.358905	1.63496	2.0486
4765.6441	1.61307	2.1123
5045.436906	1.59112	2.1807
5347.144954	1.5691	2.2545
5673.248393	1.547	2.3342
6026.430427	1.52484	2.4206
6409.95441	1.5026	2.5144
6828.127972	1.48028	2.6167
7285.316755	1.45788	2.7285
7786.655106	1.43539	2.8511
8625.728944	1.41282	3.0563
9552.028634	1.39015	3.2829
10578.53508	1.36737	3.5339
11729.62917	1.34449	3.8154
12650.50444	1.32148	4.0406
12975.52009	1.29586	4.1201
13381.78603	1.27214	4.2195
13950.55255	1.24922	4.3586
15033.91389	1.22704	4.6236
16333.88948	1.20555	4.9415
17931.91817	1.18467	5.3323
19963.3204	1.16437	5.8291
22238.38646	1.14458	6.3855
25000.92525	1.12522	7.0612
28088.63923	1.10615	7.8163
/
