    TS       Day   Newton          I1:BHP          I1:WIR          I1:OIR          P1:BHP          P1:WPR          P1:OPR
   52  635.4700        2     4.34370e+02    -8.34662e+02    -1.10138e-07     3.93001e+02     6.86962e+02     1.61140e+02
   53  650.4700        2     4.34370e+02    -8.42085e+02    -1.11117e-07     3.93001e+02     6.99747e+02     1.55273e+02
   54  665.4700        2     4.34370e+02    -8.49154e+02    -1.12050e-07     3.93001e+02     7.11905e+02     1.49708e+02
   55  680.4700        1     4.34370e+02    -8.55876e+02    -1.12937e-07     3.93001e+02     7.23403e+02     1.44415e+02
   56  695.4700        2     4.34370e+02    -8.62292e+02    -1.13784e-07     3.93001e+02     7.34578e+02     1.39286e+02
   57  710.4700        2     4.34370e+02    -8.68522e+02    -1.14606e-07     3.93001e+02     7.45262e+02     1.34426e+02
   58  725.4700        1     4.34370e+02    -8.74590e+02    -1.15407e-07     3.93001e+02     7.55539e+02     1.29791e+02
   59  740.4700        1     4.34370e+02    -8.80415e+02    -1.16175e-07     3.93001e+02     7.65460e+02     1.25321e+02
   60  755.4700        2     4.34370e+02    -8.85966e+02    -1.16908e-07     3.93001e+02     7.74977e+02     1.21026e+02
   61  770.4700        1     4.34370e+02    -8.91261e+02    -1.17607e-07     3.93001e+02     7.84006e+02     1.16915e+02
   62  785.4700        2     4.34370e+02    -8.96291e+02    -1.18270e-07     3.93001e+02     7.92670e+02     1.12975e+02
   63  800.0000        1     4.34370e+02    -9.00967e+02    -1.18887e-07     3.93001e+02     8.00665e+02     1.09327e+02
